STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-01,,,,,,-218.5,,0.00,,0.0,0.0,,41,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-02,,,,,,-233.9,,0.38,,0.0,0.0,,48,37,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-03,,,,,,-244.9,,0.01,,0.0,0.0,,43,29,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-04,,,,,,-281.9,,0.00,,0.0,0.0,,33,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-05,,,,,,-301.2,,0.00,,0.0,0.0,,33,26,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-06,,,,,,-313.4,,0.00,,0.0,0.0,,39,27,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-07,,,,,,-337.0,,0.00,,0.0,0.0,,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-08,,,,,,-355.1,,0.00,,0.0,0.0,,48,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-09,,,,,,-357.5,,0.00,,0.0,0.0,,59,26,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-10,,,,,,-345.7,,0.00,,0.0,0.0,,57,44,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-11,,,,,,-326.4,,0.00,,0.0,0.0,,56,46,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-12,,,,,,-294.1,,0.10,,0.0,0.0,,69,45,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-13,,,,,,-273.6,,0.00,,0.0,0.0,,70,52,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-14,,,,,,-249.6,,1.68,,0.0,0.0,,63,50,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-15,,,,,,-273.6,,0.00,,0.0,0.0,,60,34,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-16,,,,,,-333.5,,0.00,,0.0,0.0,,41,28,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-17,,,,,,-381.5,,0.09,,0.0,0.0,,38,32,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-18,,,,,,-421.3,,0.14,,0.3,0.0,,46,31,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-19,,,,,,-450.0,,0.00,,0.0,0.0,,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-20,,,,,,-461.8,,0.00,,0.0,0.0,,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-21,,,,,,-457.1,,0.00,,0.0,0.0,,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-22,,,,,,-434.3,,0.00,,0.0,0.0,,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-23,,,,,,-403.1,,0.00,,0.0,0.0,,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-24,,,,,,-370.9,,0.00,,0.0,0.0,,34,18,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-25,,,,,,-337.0,,0.00,,0.0,0.0,,46,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-26,,,,,,-308.3,,0.00,,0.0,0.0,,55,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-27,,,,,,-272.4,,0.15,,0.0,0.0,,50,43,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-28,,,,,,-236.2,,0.00,,0.0,0.0,,46,40,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-29,,,,,,-211.0,,0.00,,0.0,0.0,,46,37,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-30,,,,,,-201.6,,0.00,,0.0,0.0,,40,31,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-01-31,,,,,,-195.7,,0.00,,0.0,0.0,,49,30,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-01,,,,,,-208.7,,0.00,,0.0,0.0,,49,28,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-02,,,,,,-219.7,,0.00,,0.0,0.0,,47,29,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-03,,,,,,-233.9,,0.00,,0.0,0.0,,45,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-04,,,,,,-228.0,,0.23,,0.0,0.0,,48,35,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-05,,,,,,-216.1,,1.63,,0.0,0.0,,47,40,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-06,,,,,,-270.1,,0.00,,0.0,0.0,,46,33,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-07,,,,,,-297.6,,0.00,,0.0,0.0,,38,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-08,,,,,,-290.6,,0.00,,0.0,0.0,,52,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-09,,,,,,-296.5,,0.13,,0.0,0.0,,61,42,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",1960-02-10,,,,,,-328.7,,0.85,,0.0,0.0,,63,37,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
